============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
32178   0.0568656586   0x00E8EC   0|000|0000111010...           0.0568656921   3.35e-08       
32179   0.0598829761   0x00F548   0|000|0000111101...           0.0598831177   1.42e-07       
32180   0.0375956483   0x0099FE   0|000|0000100110...           0.0375957489   1.01e-07       
32181   -0.0003191706  0x80014F   1|000|0000000000...           -0.0003194809  3.10e-07       
32182   -0.1113042161  0x81C7E7   1|000|0001110001...           -0.1113042831  6.70e-08       
32183   -0.0046517625  0x80130E   1|000|0000000100...           -0.0046520233  2.61e-07       
32184   0.1267066300   0x0206FE   0|000|0010000001...           0.1267070770   4.47e-07       
32185   -0.0533026084  0x80DA54   1|000|0000110110...           -0.0533027649  1.56e-07       
32186   0.1411402375   0x02421C   0|000|0010010000...           0.1411399841   2.53e-07       
32187   0.1722559333   0x02C18F   0|000|0010110000...           0.1722555161   4.17e-07       
32188   0.0166298281   0x00441E   0|000|0000010001...           0.0166301727   3.45e-07       
32189   -0.0004498394  0x8001D8   1|000|0000000000...           -0.0004501343  2.95e-07       
32190   -0.0858148560  0x815F7F   1|000|0001010111...           -0.0858144760  3.80e-07       
32191   0.0825465694   0x01521C   0|000|0001010100...           0.0825462341   3.35e-07       
32192   0.0722207054   0x0127D1   0|000|0001001001...           0.0722208023   9.69e-08       
32193   -0.0514603071  0x80D2C8   1|000|0000110100...           -0.0514602661  4.10e-08       
32194   0.1261102557   0x02048C   0|000|0010000001...           0.1261100769   1.79e-07       
32195   -0.0099524511  0x8028C4   1|000|0000001010...           -0.0099525452  9.41e-08       
32196   0.1150362566   0x01D730   0|000|0001110101...           0.1150360107   2.46e-07       
32197   -0.1523153037  0x826FE2   1|000|0010011011...           -0.1523151398  1.64e-07       
32198   -0.1823181212  0x82EAC6   1|000|0010111010...           -0.1823177338  3.87e-07       
32199   -0.0516875200  0x80D3B6   1|000|0000110100...           -0.0516872406  2.79e-07       
32200   0.0455098115   0x00BA68   0|000|0000101110...           0.0455093384   4.73e-07       
32201   0.0422681123   0x00AD21   0|000|0000101011...           0.0422677994   3.13e-07       
32202   -0.2204290479  0x8386E1   1|000|0011100001...           -0.2204294205  3.73e-07       
32203   0.1064815894   0x01B426   0|000|0001101101...           0.1064815521   3.73e-08       
32204   0.1641679555   0x02A06F   0|000|0010101000...           0.1641683578   4.02e-07       
32205   0.0464795940   0x00BE61   0|000|0000101111...           0.0464792252   3.69e-07       
32206   -0.1016218290  0x81A03E   1|000|0001101000...           -0.1016216278  2.01e-07       
32207   0.0148914680   0x003CFF   0|000|0000001111...           0.0148916245   1.56e-07       
32208   -0.1259520799  0x8203E6   1|000|0010000000...           -0.1259517670  3.13e-07       
32209   -0.1903409362  0x830BA3   1|000|0011000010...           -0.1903409958  5.96e-08       
32210   0.1149191558   0x01D6B5   0|000|0001110101...           0.1149187088   4.47e-07       
32211   -0.0126004592  0x80339D   1|000|0000001100...           -0.0126008987  4.40e-07       
32212   -0.2604644299  0x842ADD   1|000|0100001010...           -0.2604646683  2.38e-07       
32213   -0.1115456820  0x81C8E4   1|000|0001110010...           -0.1115455627  1.19e-07       
32214   0.0503448360   0x00CE36   0|000|0000110011...           0.0503444672   3.69e-07       
32215   -0.1523367912  0x826FF9   1|000|0010011011...           -0.1523370743  2.83e-07       
32216   -0.0554103367  0x80E2F6   1|000|0000111000...           -0.0554103851  4.84e-08       
32217   0.0090276543   0x0024FA   0|000|0000001001...           0.0090274811   1.73e-07       
32218   -0.1913335770  0x830FB4   1|000|0011000011...           -0.1913337708  1.94e-07       
32219   -0.0870373845  0x816481   1|000|0001011001...           -0.0870370865  2.98e-07       
32220   0.0409438424   0x00A7B5   0|000|0000101001...           0.0409440994   2.57e-07       
32221   -0.1066153869  0x81B4B2   1|000|0001101101...           -0.1066150665  3.20e-07       
32222   -0.0888989493  0x816C21   1|000|0001011011...           -0.0888986588  2.91e-07       
32223   -0.1365883350  0x822F77   1|000|0010001011...           -0.1365880966  2.38e-07       
32224   -0.0879346654  0x81682E   1|000|0001011010...           -0.0879344940  1.71e-07       
32225   0.2686527967   0x044C67   0|000|0100010011...           0.2686529160   1.19e-07       
32226   -0.0140758064  0x8039A8   1|000|0000001110...           -0.0140762329  4.27e-07       
32227   -0.2154140472  0x837256   1|000|0011011100...           -0.2154140472  4.12e-11       
32228   0.0277524162   0x0071AD   0|000|0000011100...           0.0277528763   4.60e-07       
32229   -0.1324694455  0x821E98   1|000|0010000111...           -0.1324691772  2.68e-07       
32230   -0.0574755669  0x80EB6C   1|000|0000111010...           -0.0574760437  4.77e-07       
32231   0.0470941700   0x00C0E6   0|000|0000110000...           0.0470943451   1.75e-07       
32232   0.2059260607   0x034B79   0|000|0011010010...           0.2059259415   1.19e-07       
32233   -0.2108863443  0x835FCA   1|000|0011010111...           -0.2108860016  3.43e-07       
32234   -0.1497096866  0x826536   1|000|0010011001...           -0.1497097015  1.49e-08       
32235   0.1565660387   0x02814B   0|000|0010100000...           0.1565656662   3.73e-07       
32236   0.1651583016   0x02A47D   0|000|0010101001...           0.1651582718   2.98e-08       
32237   0.1133022159   0x01D016   0|000|0001110100...           0.1133022308   1.49e-08       
32238   -0.2698279023  0x845137   1|000|0100010100...           -0.2698278427  5.96e-08       
32239   0.0341015868   0x008BAE   0|000|0000100010...           0.0341014862   1.01e-07       
32240   -0.1238994747  0x81FB7E   1|000|0001111110...           -0.1238994598  1.49e-08       
32241   0.0763144419   0x013895   0|000|0001001110...           0.0763139725   4.69e-07       
32242   -0.1745200753  0x82CAD6   1|000|0010110010...           -0.1745204926  4.17e-07       
32243   -0.1535058320  0x8274C3   1|000|0010011101...           -0.1535062790  4.47e-07       
32244   0.2039133608   0x03433B   0|000|0011010000...           0.2039136887   3.28e-07       
32245   -0.0685044453  0x811898   1|000|0001000110...           -0.0685043335  1.12e-07       
32246   -0.2328055501  0x83B992   1|000|0011101110...           -0.2328052521  2.98e-07       
32247   -0.1164053306  0x81DCCC   1|000|0001110111...           -0.1164054871  1.56e-07       
32248   0.1415237933   0x0243AE   0|000|0010010000...           0.1415233612   4.32e-07       
32249   -0.0894637182  0x816E72   1|000|0001011011...           -0.0894641876  4.69e-07       
32250   -0.2910984457  0x84A857   1|000|0100101010...           -0.2910985947  1.49e-07       
32251   0.2913869321   0x04A985   0|000|0100101010...           0.2913866043   3.28e-07       
32252   0.0093156677   0x002628   0|000|0000001001...           0.0093154907   1.77e-07       
32253   0.0313644335   0x008078   0|000|0000100000...           0.0313644409   7.42e-09       
32254   0.1341574192   0x022582   0|000|0010001001...           0.1341571808   2.38e-07       
32255   0.0571630560   0x00EA24   0|000|0000111010...           0.0571632385   1.83e-07       
32256   -0.0380803794  0x809BFA   1|000|0000100110...           -0.0380802155  1.64e-07       
32257   0.0548379980   0x00E09E   0|000|0000111000...           0.0548381805   1.83e-07       
32258   -0.2220222652  0x838D67   1|000|0011100011...           -0.2220220566  2.09e-07       
32259   0.2817620039   0x048219   0|000|0100100000...           0.2817621231   1.19e-07       
32260   -0.1336928755  0x82239B   1|000|0010001000...           -0.1336927414  1.34e-07       
32261   -0.1888394505  0x83057D   1|000|0011000001...           -0.1888399124  4.62e-07       
32262   -0.0715239868  0x8124F6   1|000|0001001001...           -0.0715236664  3.20e-07       
32263   -0.2439834774  0x83E75B   1|000|0011111001...           -0.2439832687  2.09e-07       
32264   0.0405597426   0x00A622   0|000|0000101001...           0.0405597687   2.61e-08       
32265   -0.1446700692  0x825092   1|000|0010010100...           -0.1446704865  4.17e-07       
32266   -0.0409041271  0x80A78B   1|000|0000101001...           -0.0409040451  8.20e-08       
32267   -0.0150052877  0x803D76   1|000|0000001111...           -0.0150051117  1.76e-07       
32268   0.1211370304   0x01F02D   0|000|0001111100...           0.1211366653   3.65e-07       
32269   -0.0215434954  0x80583E   1|000|0000010110...           -0.0215435028  7.41e-09       
32270   -0.1651547551  0x82A479   1|000|0010101001...           -0.1651544571  2.98e-07       
32271   -0.1411132216  0x824200   1|000|0010010000...           -0.1411132812  5.96e-08       
32272   -0.0262117796  0x806B5D   1|000|0000011010...           -0.0262117386  4.10e-08       
32273   -0.1991307437  0x832FA4   1|000|0011001011...           -0.1991310120  2.68e-07       
32274   -0.0489150621  0x80C85B   1|000|0000110010...           -0.0489149094  1.53e-07       
32275   -0.2267916948  0x83A0F0   1|000|0011101000...           -0.2267913818  3.13e-07       
32276   0.0711922050   0x01239A   0|000|0001001000...           0.0711917877   4.17e-07       
32277   0.0284096431   0x00745E   0|000|0000011101...           0.0284099579   3.15e-07       
32278   0.1463709176   0x025789   0|000|0010010101...           0.1463708878   2.98e-08       
32279   0.1359534711   0x022CDE   0|000|0010001011...           0.1359539032   4.32e-07       
32280   -0.0167466793  0x804498   1|000|0000010001...           -0.0167465210  1.58e-07       
32281   -0.0515690595  0x80D33A   1|000|0000110100...           -0.0515689850  7.45e-08       
32282   -0.0444224179  0x80B5F4   1|000|0000101101...           -0.0444221497  2.68e-07       
32283   -0.0913426355  0x817624   1|000|0001011101...           -0.0913429260  2.91e-07       
32284   0.1483191252   0x025F84   0|000|0010010111...           0.1483192444   1.19e-07       
32285   -0.1765251160  0x82D30C   1|000|0010110100...           -0.1765251160  3.32e-11       
32286   0.1520029604   0x026E9B   0|000|0010011011...           0.1520032883   3.28e-07       
32287   0.1561435461   0x027F90   0|000|0010011111...           0.1561431885   3.58e-07       
32288   -0.1872648150  0x82FF09   1|000|0010111111...           -0.1872644424  3.73e-07       
32289   0.0960824788   0x01898E   0|000|0001100010...           0.0960826874   2.09e-07       
32290   -0.0389450453  0x809F85   1|000|0000100111...           -0.0389451981  1.53e-07       
32291   -0.0850522518  0x815C60   1|000|0001010111...           -0.0850524902  2.38e-07       
32292   0.1113158837   0x01C7F3   0|000|0001110001...           0.1113157272   1.56e-07       
32293   -0.1899911165  0x830A34   1|000|0011000010...           -0.1899909973  1.19e-07       
32294   0.3053571880   0x04E2BE   0|000|0100111000...           0.3053569794   2.09e-07       
32295   -0.0886602402  0x816B27   1|000|0001011010...           -0.0886602402  2.67e-11       
32296   0.1385634392   0x02378E   0|000|0010001101...           0.1385631561   2.83e-07       
32297   -0.1694401205  0x82B607   1|000|0010101101...           -0.1694402695  1.49e-07       
32298   -0.0052975402  0x8015B3   1|000|0000000101...           -0.0052976608  1.21e-07       
32299   -0.6517217159  0x8A6D74   1|000|1010011011...           -0.6517219543  2.38e-07       
32300   -0.0460072048  0x80BC72   1|000|0000101111...           -0.0460071564  4.84e-08       
32301   -0.0221858993  0x805AE0   1|000|0000010110...           -0.0221862793  3.80e-07       
32302   -0.0561236665  0x80E5E2   1|000|0000111001...           -0.0561237335  6.70e-08       
32303   -0.0478892028  0x80C427   1|000|0000110001...           -0.0478887558  4.47e-07       
32304   0.2669013143   0x04453A   0|000|0100010001...           0.2669010162   2.98e-07       
32305   0.0644511506   0x0107FE   0|000|0001000001...           0.0644512177   6.71e-08       
32306   -0.0989418477  0x819544   1|000|0001100101...           -0.0989418030  4.47e-08       
32307   0.0136072878   0x0037BC   0|000|0000001101...           0.0136070251   2.63e-07       
32308   0.0093007367   0x002619   0|000|0000001001...           0.0093011856   4.49e-07       
32309   -0.1655847728  0x82A63C   1|000|0010101001...           -0.1655845642  2.09e-07       
32310   0.0535042733   0x00DB27   0|000|0000110110...           0.0535039902   2.83e-07       
32311   -0.0462895483  0x80BD9A   1|000|0000101111...           -0.0462894440  1.04e-07       
32312   -0.0758965909  0x8136DF   1|000|0001001101...           -0.0758962631  3.28e-07       
32313   -0.1140044928  0x81D2F6   1|000|0001110100...           -0.1140041351  3.58e-07       
32314   0.1057556644   0x01B12D   0|000|0001101100...           0.1057558060   1.42e-07       
32315   0.0259188600   0x006A2A   0|000|0000011010...           0.0259189606   1.01e-07       
32316   0.0178519916   0x00491F   0|000|0000010010...           0.0178518295   1.62e-07       
32317   0.1353789419   0x022A83   0|000|0010001010...           0.1353788376   1.04e-07       
32318   -0.1449728906  0x8251CF   1|000|0010010100...           -0.1449728012  8.94e-08       
32319   -0.0766888633  0x813A1E   1|000|0001001110...           -0.0766887665  9.68e-08       
32320   0.0346724428   0x008E05   0|000|0000100011...           0.0346727371   2.94e-07       
32321   -0.0959317684  0x8188F0   1|000|0001100010...           -0.0959320068  2.38e-07       
32322   0.0526994877   0x00D7DB   0|000|0000110101...           0.0526990891   3.99e-07       
32323   -0.1391645223  0x823A05   1|000|0010001110...           -0.1391649246  4.02e-07       
32324   -0.0629840642  0x8101FC   1|000|0001000000...           -0.0629844666  4.02e-07       
32325   0.0284237936   0x00746D   0|000|0000011101...           0.0284242630   4.69e-07       
32326   0.0195240751   0x004FF8   0|000|0000010011...           0.0195236206   4.54e-07       
32327   -0.0995799601  0x8197E1   1|000|0001100101...           -0.0995798111  1.49e-07       
